arch,estratégia,test_acc,best_val_acc,épocas,tempo (min)
Conv_VCPI,F_clahe_combo,0.9947743467933492,0.9992457099754856,30,37.88885085185369
Conv_VCPI,G_full,0.9942992874109263,0.9994342824816141,30,34.39987341165543
ResNet18,G_full,0.9925574030087094,0.9994342824816141,23,30.956164459387463
Conv_VCPI,E_combo,0.9922406967537609,0.9996228549877428,30,21.054607594013213
ResNet18,E_combo,0.9909738717339668,0.9994342824816141,30,35.39846363067627
Conv_VCPI,C_geo_heavy,0.9897862232779098,0.9996228549877428,30,16.70395272175471
ResNet18,F_clahe_combo,0.9897862232779098,0.9996228549877428,30,39.520838391780856
Conv_VCPI,B_geo_light,0.9895486935866984,0.9998114274938714,30,14.044314805666605
Conv_VCPI,A_baseline,0.9876484560570071,1.0,28,10.147552871704102
ResNet18,C_geo_heavy,0.9874901029295329,0.9992457099754856,26,14.849507768948873
Conv_VCPI,D_photo,0.9867775138558986,0.9996228549877428,30,19.09037448565165
ResNet18,B_geo_light,0.9844813935075217,1.0,30,15.429983429114024
ResNet18,A_baseline,0.981631037212985,0.9994342824816141,26,9.412992680072785
ResNet18,D_photo,0.981631037212985,0.9979257024325854,19,14.505754832426707
